,hidden_size,train_batch_size,val_batch_size,type,Overall accuracy,Macro average precision,Weighted average precision,Macro average recall,Weighted average recall,Macro average F1,Weighted average F1
0,512,50,50,best,0.51,0.491,0.512,0.483,0.51,0.485,0.509
1,512,50,50,last,0.466,0.449,0.473,0.465,0.466,0.451,0.465
2,256,50,50,best,0.536,0.522,0.539,0.484,0.536,0.496,0.53
3,256,50,50,last,0.48,0.457,0.486,0.468,0.48,0.46,0.481
4,512,40,40,best,0.521,0.543,0.547,0.463,0.521,0.482,0.514
5,512,40,40,last,0.456,0.448,0.465,0.451,0.456,0.434,0.44
6,256,40,40,best,0.505,0.48,0.502,0.471,0.505,0.475,0.503
7,256,40,40,last,0.489,0.466,0.488,0.48,0.489,0.47,0.484
8,512,30,30,best,0.51,0.499,0.51,0.477,0.51,0.485,0.508
9,512,30,30,last,0.478,0.467,0.48,0.465,0.478,0.46,0.472
10,256,30,30,best,0.513,0.508,0.518,0.483,0.513,0.489,0.511
11,256,30,30,last,0.504,0.484,0.507,0.489,0.504,0.484,0.503
