,learning_rate,momentum,weight_decay,type,Overall accuracy,Macro average precision,Weighted average precision,Macro average recall,Weighted average recall,Macro average F1,Weighted average F1
0,0.01,0.9,0.0005,best,0.441,0.4,0.422,0.391,0.441,0.386,0.423
1,0.01,0.9,0.0005,last,0.332,0.341,0.363,0.291,0.332,0.294,0.329
2,0.01,0.9,0.001,best,0.399,0.386,0.405,0.357,0.399,0.36,0.392
3,0.01,0.9,0.001,last,0.375,0.328,0.359,0.334,0.375,0.321,0.356
4,0.01,0.99,0.0005,best,0.317,0.063,0.101,0.2,0.317,0.096,0.153
5,0.01,0.99,0.0005,last,0.317,0.063,0.101,0.2,0.317,0.096,0.153
6,0.01,0.99,0.001,best,0.257,0.149,0.148,0.275,0.257,0.183,0.178
7,0.01,0.99,0.001,last,0.24,0.048,0.058,0.2,0.24,0.078,0.093
8,0.001,0.9,0.0005,best,0.457,0.426,0.44,0.4,0.457,0.401,0.438
9,0.001,0.9,0.0005,last,0.438,0.405,0.423,0.381,0.438,0.379,0.419
10,0.001,0.9,0.001,best,0.436,0.42,0.425,0.406,0.436,0.406,0.426
11,0.001,0.9,0.001,last,0.436,0.426,0.438,0.362,0.436,0.365,0.416
12,0.001,0.99,0.0005,best,0.404,0.418,0.421,0.361,0.404,0.362,0.393
13,0.001,0.99,0.0005,last,0.336,0.336,0.351,0.3,0.336,0.289,0.32
14,0.001,0.99,0.001,best,0.382,0.371,0.392,0.344,0.382,0.346,0.377
15,0.001,0.99,0.001,last,0.328,0.306,0.33,0.285,0.328,0.277,0.314
16,0.0001,0.9,0.0005,best,0.448,0.401,0.427,0.399,0.448,0.391,0.429
17,0.0001,0.9,0.0005,last,0.434,0.408,0.425,0.37,0.434,0.358,0.401
18,0.0001,0.9,0.001,best,0.437,0.406,0.427,0.406,0.437,0.4,0.426
19,0.0001,0.9,0.001,last,0.439,0.401,0.422,0.399,0.439,0.392,0.423
20,0.0001,0.99,0.0005,best,0.444,0.403,0.433,0.412,0.444,0.388,0.419
21,0.0001,0.99,0.0005,last,0.399,0.361,0.39,0.336,0.399,0.332,0.381
22,0.0001,0.99,0.001,best,0.493,0.476,0.483,0.438,0.493,0.436,0.468
23,0.0001,0.99,0.001,last,0.429,0.394,0.417,0.391,0.429,0.388,0.419
24,1e-05,0.9,0.0005,best,0.461,0.416,0.442,0.411,0.461,0.399,0.439
25,1e-05,0.9,0.0005,last,0.449,0.416,0.435,0.395,0.449,0.384,0.425
26,1e-05,0.9,0.001,best,0.454,0.413,0.438,0.407,0.454,0.394,0.43
27,1e-05,0.9,0.001,last,0.447,0.411,0.435,0.398,0.447,0.382,0.418
28,1e-05,0.99,0.0005,best,0.438,0.412,0.427,0.387,0.438,0.377,0.415
29,1e-05,0.99,0.0005,last,0.415,0.38,0.4,0.38,0.415,0.368,0.397
30,1e-05,0.99,0.001,best,0.446,0.408,0.437,0.402,0.446,0.394,0.432
31,1e-05,0.99,0.001,last,0.422,0.38,0.411,0.376,0.422,0.365,0.404
