,learning_rate,momentum,weight_decay,type,Overall accuracy,Macro average precision,Weighted average precision,Macro average recall,Weighted average recall,Macro average F1,Weighted average F1
0,0.001,0.9,0.0005,best,0.456,0.441,0.454,0.395,0.456,0.398,0.441
1,0.001,0.9,0.0005,last,0.424,0.399,0.414,0.361,0.424,0.364,0.405
2,0.001,0.9,0.001,best,0.433,0.461,0.466,0.406,0.433,0.418,0.439
3,0.001,0.9,0.001,last,0.42,0.401,0.419,0.375,0.42,0.378,0.41
4,0.001,0.99,0.0005,best,0.396,0.378,0.396,0.352,0.396,0.353,0.387
5,0.001,0.99,0.0005,last,0.341,0.306,0.334,0.298,0.341,0.281,0.319
6,0.001,0.99,0.001,best,0.387,0.41,0.412,0.348,0.387,0.349,0.379
7,0.001,0.99,0.001,last,0.355,0.356,0.382,0.326,0.355,0.293,0.329
8,0.0001,0.9,0.0005,best,0.45,0.423,0.434,0.407,0.45,0.399,0.429
9,0.0001,0.9,0.0005,last,0.43,0.415,0.426,0.385,0.43,0.375,0.41
10,0.0001,0.9,0.001,best,0.45,0.419,0.447,0.414,0.45,0.407,0.439
11,0.0001,0.9,0.001,last,0.442,0.421,0.434,0.381,0.442,0.379,0.42
12,0.0001,0.99,0.0005,best,0.442,0.425,0.434,0.399,0.442,0.393,0.421
13,0.0001,0.99,0.0005,last,0.416,0.403,0.417,0.37,0.416,0.373,0.408
14,0.0001,0.99,0.001,best,0.433,0.421,0.438,0.382,0.433,0.381,0.42
15,0.0001,0.99,0.001,last,0.445,0.431,0.444,0.378,0.445,0.374,0.418
16,1e-05,0.9,0.0005,best,0.44,0.398,0.422,0.381,0.44,0.37,0.414
17,1e-05,0.9,0.0005,last,0.438,0.392,0.415,0.383,0.438,0.37,0.411
18,1e-05,0.9,0.001,best,0.455,0.421,0.442,0.4,0.455,0.391,0.432
19,1e-05,0.9,0.001,last,0.451,0.418,0.433,0.391,0.451,0.384,0.425
20,1e-05,0.99,0.0005,best,0.446,0.431,0.45,0.403,0.446,0.392,0.428
21,1e-05,0.99,0.0005,last,0.413,0.392,0.405,0.36,0.413,0.354,0.392
22,1e-05,0.99,0.001,best,0.441,0.415,0.437,0.406,0.441,0.4,0.43
23,1e-05,0.99,0.001,last,0.424,0.402,0.417,0.384,0.424,0.371,0.403
