,learning_rate,momentum,weight_decay,type,Overall accuracy,Macro average precision,Weighted average precision,Macro average recall,Weighted average recall,Macro average F1,Weighted average F1
0,0.01,0.9,0.0005,best,0.41,0.403,0.417,0.352,0.41,0.357,0.4
1,0.01,0.9,0.0005,last,0.402,0.365,0.384,0.342,0.402,0.338,0.375
2,0.01,0.9,0.001,best,0.393,0.371,0.402,0.353,0.393,0.354,0.388
3,0.01,0.9,0.001,last,0.382,0.373,0.384,0.321,0.382,0.311,0.353
4,0.01,0.99,0.0005,best,0.309,0.131,0.173,0.228,0.309,0.163,0.219
5,0.01,0.99,0.0005,last,0.317,0.063,0.101,0.2,0.317,0.096,0.153
6,0.01,0.99,0.001,best,0.307,0.116,0.157,0.216,0.307,0.149,0.205
7,0.01,0.99,0.001,last,0.317,0.063,0.101,0.2,0.317,0.096,0.153
8,0.001,0.9,0.0005,best,0.448,0.423,0.444,0.408,0.448,0.402,0.436
9,0.001,0.9,0.0005,last,0.447,0.418,0.432,0.389,0.447,0.391,0.429
10,0.001,0.9,0.001,best,0.46,0.425,0.448,0.421,0.46,0.421,0.452
11,0.001,0.9,0.001,last,0.398,0.387,0.404,0.339,0.398,0.329,0.376
12,0.001,0.99,0.0005,best,0.396,0.364,0.387,0.364,0.396,0.354,0.382
13,0.001,0.99,0.0005,last,0.358,0.334,0.353,0.29,0.358,0.273,0.326
14,0.001,0.99,0.001,best,0.402,0.376,0.397,0.369,0.402,0.353,0.383
15,0.001,0.99,0.001,last,0.321,0.279,0.297,0.268,0.321,0.239,0.28
16,0.0001,0.9,0.0005,best,0.415,0.394,0.414,0.382,0.415,0.379,0.407
17,0.0001,0.9,0.0005,last,0.41,0.385,0.408,0.375,0.41,0.367,0.397
18,0.0001,0.9,0.001,best,0.454,0.412,0.438,0.395,0.454,0.393,0.438
19,0.0001,0.9,0.001,last,0.435,0.406,0.432,0.387,0.435,0.379,0.416
20,0.0001,0.99,0.0005,best,0.454,0.418,0.438,0.393,0.454,0.392,0.435
21,0.0001,0.99,0.0005,last,0.454,0.418,0.438,0.393,0.454,0.392,0.435
22,0.0001,0.99,0.001,best,0.433,0.4,0.419,0.395,0.433,0.395,0.423
23,0.0001,0.99,0.001,last,0.435,0.399,0.415,0.369,0.435,0.366,0.404
24,1e-05,0.9,0.0005,best,0.424,0.39,0.412,0.373,0.424,0.363,0.403
25,1e-05,0.9,0.0005,last,0.418,0.392,0.411,0.363,0.418,0.347,0.389
26,1e-05,0.9,0.001,best,0.433,0.412,0.436,0.382,0.433,0.369,0.409
27,1e-05,0.9,0.001,last,0.432,0.415,0.435,0.373,0.432,0.357,0.402
28,1e-05,0.99,0.0005,best,0.427,0.396,0.423,0.388,0.427,0.385,0.419
29,1e-05,0.99,0.0005,last,0.431,0.399,0.421,0.383,0.431,0.379,0.417
30,1e-05,0.99,0.001,best,0.432,0.396,0.418,0.374,0.432,0.373,0.416
31,1e-05,0.99,0.001,last,0.426,0.394,0.414,0.36,0.426,0.355,0.404
